---------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                             | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                                                                                                                                                                                                                                                               
---------------------------------|---------|----------|---------|---------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  wordTemplates.ts               |   80.64 |    55.55 |      70 |   88.46 | 17-24                                                                                                                                                                                                                                                                                                           
 services/db/utils               |   78.12 |       60 |   85.71 |   88.88 |                                                                                                                                                                                                                                                                                                                 
  dates.ts                       |   78.12 |       60 |   85.71 |   88.88 | 23-25                                                                                                                                                                                                                                                                                                           
 utils                           |   64.77 |    54.41 |   69.38 |   68.79 |                                                                                                                                                                                                                                                                                                                 
  arabicNumber.ts                |   96.36 |    80.76 |     100 |     100 | 50-59,63-64,87,97                                                                                                                                                                                                                                                                                               
  auditLabels.ts                 |   27.27 |        0 |       0 |   33.33 | 17-26                                                                                                                                                                                                                                                                                                           
  brandSignature.ts              |   70.73 |    58.82 |     100 |   90.62 | 41-42,47                                                                                                                                                                                                                                                                                                        
  clipboard.ts                   |    5.88 |        0 |       0 |    6.45 | 6-47                                                                                                                                                                                                                                                                                                            
  clone.ts                       |      50 |      100 |       0 |      50 | 2                                                                                                                                                                                                                                                                                                               
  coerce.ts                      |   85.71 |       75 |   66.66 |     100 | 7                                                                                                                                                                                                                                                                                                               
  companySheet.ts                |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  contractNumber.ts              |     100 |      100 |     100 |     100 |                                                                                                                                                                                                                                                                                                                 
  dataGuards.ts                  |   83.33 |    71.42 |     100 |   84.61 | 67,98,105,122,151,164,172,185,193,206                                                                                                                                                                                                                                                                           
  dateOnly.ts                    |   85.93 |    79.59 |    90.9 |   91.66 | 20,66-68                                                                                                                                                                                                                                                                                                        
  desktopMessages.ts             |   93.93 |    88.57 |     100 |   91.66 | 18,39                                                                                                                                                                                                                                                                                                           
  docxTemplate.ts                |   45.28 |    14.52 |      50 |   48.93 | 28-74,128-141,172-248                                                                                                                                                                                                                                                                                           
  employeeCommission.ts          |      75 |    31.81 |     100 |   84.61 | 39-43                                                                                                                                                                                                                                                                                                           
  englishNumerals.ts             |   52.94 |    26.31 |    37.5 |    57.6 | 14-15,40-65,102-147                                                                                                                                                                                                                                                                                             
